	user_id	job_seeking_status	number_contacts	A1	A2	A3	A4	A5	action	pa_1	pa_2	pa_3	pa_4	pa_5	qtt_actions	timestamp
0	1	1	279	0	0	10	0	0	3	3	3	3	3	3	10	517904
1	1	1	279	0	0	10	0	0	3	3	3	3	3	3	10	518007
2	1	1	279	0	0	10	0	0	3	3	3	3	3	3	10	518205
3	1	1	279	0	0	10	0	0	3	3	3	3	3	3	10	518335
4	1	1	279	0	0	10	0	0	3	3	3	3	3	3	10	518473
5	1	1	279	0	0	10	0	0	3	3	3	3	3	0	10	518496
6	1	1	279	0	0	10	0	0	3	3	3	3	0	0	10	518521
7	1	1	279	0	0	10	0	0	3	3	3	0	0	0	10	518936
8	1	1	279	0	0	10	0	0	3	3	0	0	0	0	10	519018
9	1	1	279	0	0	10	0	0	3	0	0	0	0	0	10	519277
10	2	3	337	0	0	1	0	0	3	0	0	0	0	0	1	560111
11	3	2	339	0	0	1	0	0	3	0	0	0	0	0	1	106509
12	6	3	426	0	0	0	4	4	4	5	5	5	5	4	8	304860
13	6	3	426	0	0	0	4	4	4	5	5	5	4	4	8	304881
14	6	3	426	0	0	0	4	4	4	5	5	4	4	4	8	304965
15	6	3	426	0	0	0	4	4	5	5	4	4	4	0	8	455799
16	6	3	426	0	0	0	4	4	5	4	4	4	0	0	8	455878
17	6	3	426	0	0	0	4	4	5	4	4	0	0	0	8	455908
18	6	3	426	0	0	0	4	4	5	4	0	0	0	0	8	455959
19	6	3	426	0	0	0	4	4	4	0	0	0	0	0	8	459249
20	7	3	182	0	0	0	1	0	4	0	0	0	0	0	1	460305
21	8	2	363	0	0	5	0	0	3	3	3	3	3	0	5	499075
22	8	2	363	0	0	5	0	0	3	3	3	3	0	0	5	500090
23	8	2	363	0	0	5	0	0	3	3	3	0	0	0	5	500145
24	8	2	363	0	0	5	0	0	3	3	0	0	0	0	5	500378
25	8	2	363	0	0	5	0	0	3	0	0	0	0	0	5	500416
26	9	1	0	0	0	4	0	0	3	3	3	3	0	0	4	390791
27	9	1	0	0	0	4	0	0	3	3	3	0	0	0	4	390793
28	9	1	0	0	0	4	0	0	3	3	0	0	0	0	4	390794
29	9	1	0	0	0	4	0	0	3	0	0	0	0	0	4	390795
30	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	541640
31	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	541685
32	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	541866
33	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	542114
34	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	542707
35	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	542709
36	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	542900
37	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543065
38	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543231
39	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543411
40	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543485
41	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543506
42	10	1	87	0	0	18	0	0	3	3	3	3	3	3	18	543543
43	10	1	87	0	0	18	0	0	3	3	3	3	3	0	18	543599
44	10	1	87	0	0	18	0	0	3	3	3	3	0	0	18	543724
45	10	1	87	0	0	18	0	0	3	3	3	0	0	0	18	543760
46	10	1	87	0	0	18	0	0	3	3	0	0	0	0	18	543978
47	10	1	87	0	0	18	0	0	3	0	0	0	0	0	18	544162
48	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3797
49	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3798
50	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3799
51	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3800
52	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3815
53	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3816
54	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3817
55	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	3818
56	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50952
57	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50953
58	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50954
59	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50955
60	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50963
61	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50964
62	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50965
63	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	50966
64	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75049
65	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75050
66	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75051
67	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75052
68	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75056
69	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75057
70	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75058
71	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	75059
72	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	86765
73	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	86766
74	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	86767
75	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	86768
76	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	108647
77	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	108648
78	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	108649
79	11	2	350	0	0	75	0	0	3	3	3	3	3	3	75	108650
